utterance,intent
"""Where can I find hospitals with surgery facilities?""",hospital_search
"""Could I get a refill on my prescription?""",medication
"""I need to pick up my medication.""",medication
"""Can you prepare my prescription?""",medication
"""Is my prescription ready for pickup?""",medication
"""I'd like to order a new batch of my medication.""",medication
"""May I request a refill of my prescription, please?""",medication
"""Can you fill my prescription for me?""",medication
"""I need to replenish my supply of medication.""",medication
"""Could you get my prescription ready for me?""",medication
"""I'm here to collect my prescription.""",medication
"""Please prepare my medication for me.""",medication
"""Can I get a prescription filled, please?""",medication
"""Could you refill my prescription for me?""",medication
"""I need to refill my medication supply.""",medication
"""May I reorder my prescription?""",medication
"""Is it possible to get a prescription filled today?""",medication
"""Can I pick up my medication order?""",medication
"""I'd like to request a prescription refill.""",medication
"""Could you dispense my medication?""",medication
"""Is my medication available for pickup?""",medication
"""Could I see a doctor, please?""",doctor
"""Is there a doctor available?""",doctor
"""I need to speak with a doctor.""",doctor
"""Can I make an appointment to see a doctor?""",doctor
"""May I schedule a consultation with a doctor?""",doctor
"""Is it possible to meet with a physician?""",doctor
"""I would like to request a doctor's appointment.""",doctor
"""Could you arrange for me to see a doctor?""",doctor
"""Is there a doctor on duty right now?""",doctor
"""Can I speak to a healthcare provider?""",doctor
"""I need medical assistance from a doctor.""",doctor
"""May I have a doctor's consultation, please?""",doctor
"""Is a physician available to see me?""",doctor
"""Could you help me book an appointment with a doctor?""",doctor
"""I'm looking to see a healthcare professional.""",doctor
"""Can you direct me to a doctor?""",doctor
"""Is there a physician I can speak with?""",doctor
"""I require the attention of a doctor.""",doctor
"""I need to consult with a medical doctor.""",doctor
"""Are there any doctors in the clinic/hospital?""",doctor
"""I have a fever and chills.""",symptoms
"""I'm experiencing nausea and vomiting.""",symptoms
"""I have a persistent headache.""",symptoms
"""My throat is sore and scratchy.""",symptoms
"""I feel fatigued and weak.""",symptoms
"""I have a runny nose and congestion.""",symptoms
"""I'm coughing and wheezing.""",symptoms
"""I have muscle aches and pains.""",symptoms
"""I feel dizzy and lightheaded.""",symptoms
"""I have abdominal pain and cramping.""",symptoms
"""I'm experiencing diarrhea.""",symptoms
"""I feel short of breath.""",symptoms
"""I have chest tightness and discomfort.""",symptoms
"""My joints are swollen and painful.""",symptoms
"""I have a rash or skin irritation.""",symptoms
"""I feel extremely tired and lethargic.""",symptoms
"""I'm experiencing sensitivity to light/noise.""",symptoms
"""I have trouble concentrating or thinking clearly.""",symptoms
"""I'm feeling unusually cold or hot.""",symptoms
"""I have digestive issues such as bloating or indigestion.""",symptoms
